Key,Program,Subawardee UEI,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description,Parent UEI,Parent Vendor Name,Parent UEI(s),Role / Description,Source URLs
DDG|W547TUQXJ8Y4,DDG,W547TUQXJ8Y4,CARVER PUMP COMPANY,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",W547TUQXJ8Y4,CARVER PUMP COMPANY,W547TUQXJ8Y4,,
DDG|S1TGQ9L36486,DDG,S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",423830,Industrial Machinery and Equipment Merchant Wholesalers,S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",S1TGQ9L36486,,
DDG|J7JGTBNSM619,DDG,J7JGTBNSM619,MEGATOR CORPORATION,333248,All Other Industrial Machinery Manufacturing,,,,,
DDG|T2VFE1NGR3G5,DDG,T2VFE1NGR3G5,"DRS TRAINING & CONTROL SYSTEMS, LLC",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496,"The Fort Walton Beach DRS Training & Control Systems entity develops military training, control, communications, and wireless-electronics products. I found no public evidence identifying a discrete DDG-51 construction component supplied by this UEI.",https://www.highergov.com/awardee/drs-training-control-systems-llc-10107268/
DDG|FD69PPCVM2B8,DDG,FD69PPCVM2B8,PASCAGOULA LAUNCH SERVICE INC,488330,Navigational Services to Shipping,,,,,
DDG|JL4THZCMNKR7,DDG,JL4THZCMNKR7,JACKSON PLATING CO.,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",,,,,
DDG|E5NZAXG4MNB7,DDG,E5NZAXG4MNB7,MURRAY BENJAMIN ELECTRIC CO LLC,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,,,
DDG|UES5F4AAZJK5,DDG,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",UES5F4AAZJK5,,
DDG|KXWXRYB3FBW3,DDG,KXWXRYB3FBW3,FLOWSERVE CORPORATION,333995,Fluid Power Cylinder and Actuator Manufacturing,YPQMZDVKS1K8,FLOWSERVE CORPORATION,YPQMZDVKS1K8,,
DDG|HJFAW5KCG7N7,DDG,HJFAW5KCG7N7,"MAST TECHNOLOGIES, LLC",339999,All Other Miscellaneous Manufacturing,MENSE2ENG8J6,,MENSE2ENG8J6,,
DDG|FVFNV3NERP36,DDG,FVFNV3NERP36,"POWERSTAR, INC.",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,,,
DDG|C18KXNHETC95,DDG,C18KXNHETC95,"KITCO FIBER OPTICS, INC.",334417,Electronic Connector Manufacturing,UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,UU26FKF1MML6,,
DDG|ED16VKVTCHC8,DDG,ED16VKVTCHC8,ECI DEFENSE GROUP INC,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,ED16VKVTCHC8,ECI DEFENSE GROUP INC,ED16VKVTCHC8,,
DDG|R71XN254HA36,DDG,R71XN254HA36,AKRON BRASS COMPANY,332919,Other Metal Valve and Pipe Fitting Manufacturing,XGKMK9LBC344,PREMIER FARNELL LIMITED,XGKMK9LBC344,,
DDG|HQYTCMF5RGE4,DDG,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,,,
DDG|K574V7KEQUC8,DDG,K574V7KEQUC8,"CIRCOR AEROSPACE, INC.",336412,Aircraft Engine and Engine Parts Manufacturing,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",U45EH8WMNF55,"This UEI is CIRCOR Aerospace’s Corona, California operation, not a CIRCOR naval-valve or pump business. I found no public evidence tying this aerospace-focused entity to a distinct DDG-51 construction component; a Navy notice for the UEI concerns sanitary-tank hardware but does not establish a DDG-51 shipset role.","https://www.highergov.com/awardee/circor-aerospace-inc-10414129/
https://sam.gov/workspace/contract/opp/c08564d31cce4260aa61720f8d870603/view"
DDG|RL6KA2EUSUC8,DDG,RL6KA2EUSUC8,ABACUS INDUSTRIES INC,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,,,
DDG|ZVKEBJ4HQHB8,DDG,ZVKEBJ4HQHB8,HEILIND MIL-AERO LLC,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",HTHFAYHMJWT4,"HEILIND ELECTRONICS, INC",HTHFAYHMJWT4,,
DDG|V6JXCLR8QR37,DDG,V6JXCLR8QR37,RHINESTAHL CORPORATION,336412,Aircraft Engine and Engine Parts Manufacturing,K1K5EKJ2KK29,RHINESTAHL CORPORATION,K1K5EKJ2KK29,,
DDG|FREEMCLKFXE3,DDG,FREEMCLKFXE3,BATH IRON WORKS CORPORATION,336611,Ship Building and Repairing,VF58HFRNGEL8,GENERAL DYNAMICS CORPORATION,VF58HFRNGEL8,,
DDG|MUD4KL77FK98,DDG,MUD4KL77FK98,TURNBULL LLC,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,E3NCN9MXJAL5,,E3NCN9MXJAL5,,
DDG|ZVCNH5GL1Z83,DDG,ZVCNH5GL1Z83,Core Active Fixed Income,,n/a (no SAM record),,,,,
DDG|E383LRP25MY6,DDG,E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,,,,
DDG|GU9WXNREUPZ1,DDG,GU9WXNREUPZ1,FORENTA L.P.,333310,Commercial and Service Industry Machinery Manufacturing,DJ4XUHDKTH71,,DJ4XUHDKTH71,,
DDG|GN82WS7LRJ77,DDG,GN82WS7LRJ77,SPACE MACHINE & ENGINEERING CORP.,334419,Other Electronic Component Manufacturing,,,,,
DDG|U4MMR7DR2DR7,DDG,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",336611,Ship Building and Repairing,,,,,
DDG|NK1RB5VKXES9,DDG,NK1RB5VKXES9,"DETROIT SWITCH, INC.",335313,Switchgear and Switchboard Apparatus Manufacturing,,,,,
DDG|EDJPMQN1HSJ1,DDG,EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",339113,Surgical Appliance and Supplies Manufacturing,EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",EDJPMQN1HSJ1; HJG5ZSLCMTJ9,,
DDG|MSSQQ551LG41,DDG,MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,,,,
DDG|YYVHWZMPP3F8,DDG,YYVHWZMPP3F8,"DRS NAVAL POWER SYSTEMS, INC.",,n/a (no SAM record),,,,"Supplies shipboard power-distribution and power-control equipment for DDG-51 Flight III. Leonardo DRS materials describe marine switchboards and load centers that will be installed on DDG-51 Flight III ships; DRS Naval Power Systems facilities design, test and manufacture naval power distribution, conversion, motor-control, drive and automation/control equipment.",https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/; https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/; https://craft.co/drs-naval-power-systems; https://www.usaspending.gov/award/CONT_AWD_N0002413C4229_9700_-NONE-_-NONE-
DDG|SVHJHMJH65S8,DDG,SVHJHMJH65S8,ULTRA ELECTRONICS OCEAN SYSTEMS INC,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,SCWYXXK1EM13,,
DDG|D28HQ4AA2ZL8,DDG,D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",331513,Steel Foundries (except Investment),,,,,
DDG|JZXZSN3BBL98,DDG,JZXZSN3BBL98,SIEMENS INDUSTRY INC.,236220,Commercial and Institutional Building Construction,RDB2AM2GGHH8,SIEMENS AKTIENGESELLSCHAFT,RDB2AM2GGHH8,,
DDG|XECCFU26TTP9,DDG,XECCFU26TTP9,"Moniteq, Inc.",334290,Other Communications Equipment Manufacturing,,,,,
DDG|DYJZZ9DANLM3,DDG,DYJZZ9DANLM3,Ralph & Dorothy Moore,,n/a (no SAM record),,,,,
DDG|PB11V1KH3KV4,DDG,PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,541330,Engineering Services,PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,PB11V1KH3KV4,,
DDG|CYJ3L6SQANB4,DDG,CYJ3L6SQANB4,"SPARTON AYDIN, LLC",334111,Electronic Computer Manufacturing,DTXMJMGMQ655,SPARTON CORPORATION,DTXMJMGMQ655,,
DDG|PGNTKH2XZAN5,DDG,PGNTKH2XZAN5,"DEFENSE TECHNOLOGIES, INC.",423840,Industrial Supplies Merchant Wholesalers,,,,,
DDG|EJ8LYVPT4KR9,DDG,EJ8LYVPT4KR9,THE WHITMOR CO. INC.,335931,Current-Carrying Wiring Device Manufacturing,EJ8LYVPT4KR9,THE WHITMOR CO. INC.,EJ8LYVPT4KR9,,
DDG|NB2HLRTJJJQ7,DDG,NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,,n/a (no SAM record),NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,NB2HLRTJJJQ7,,
DDG|M2XAYNY2P889,DDG,M2XAYNY2P889,"POWELL ELECTRONICS, INC.",334417,Electronic Connector Manufacturing,M2XAYNY2P889,"POWELL ELECTRONICS, INC.",M2XAYNY2P889,,
DDG|WH4DRDKB7RR8,DDG,WH4DRDKB7RR8,SYSTEMS ENGINEERING SUPPORT CO.,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,,,,
DDG|YNJNTZWVC3H6,DDG,YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,336611,Ship Building and Repairing,E5K9VR2A1MW9,BAE SYSTEMS PLC,E5K9VR2A1MW9,,
DDG|GJEXETZX4N96,DDG,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,314910,Textile Bag and Canvas Mills,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,GJEXETZX4N96,,
DDG|QF3MD1MU1651,DDG,QF3MD1MU1651,"J.G.B. ENTERPRISES, INC.",326220,Rubber and Plastics Hoses and Belting Manufacturing,QF3MD1MU1651,"J.G.B. ENTERPRISES, INC.",QF3MD1MU1651,,
DDG|FECPDA1S8WJ1,DDG,FECPDA1S8WJ1,D. W. BOYD CORPORATION,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,,,,
DDG|DLRDDPVKLLA1,DDG,DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",331524,Aluminum Foundries (except Die-Casting),DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",DLRDDPVKLLA1,,
DDG|P3ZZEMCBYSK7,DDG,P3ZZEMCBYSK7,"JANSENEERING, INC.",326199,All Other Plastics Product Manufacturing,,"Kestrel Aircraft Company, Inc.",,,
DDG|L6EMG925NF78,DDG,L6EMG925NF78,KADANT UNAFLEX LLC,326220,Rubber and Plastics Hoses and Belting Manufacturing,XWTZJC873626,UIP INTERNATIONAL LLC,QLMUV48L7HP4; XWTZJC873626,,
DDG|FNQARYRJJEL5,DDG,FNQARYRJJEL5,"COSPOLICH, INC.",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,,,,
DDG|ERR4X5JLJWV5,DDG,ERR4X5JLJWV5,"NCP COATINGS, LLC",325510,Paint and Coating Manufacturing,,,,,
DDG|G871GBTQ94M7,DDG,G871GBTQ94M7,Lona Slade,,n/a (no SAM record),,,,,
DDG|HUKGWGAFW4C7,DDG,HUKGWGAFW4C7,SOUNDOWN CORPORATION,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,HUKGWGAFW4C7,SOUNDOWN CORPORATION,HUKGWGAFW4C7,,
DDG|UK8DL82MHJG5,DDG,UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,336611,Ship Building and Repairing,UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,UK8DL82MHJG5,,
DDG|JN16VPC2PXN4,DDG,JN16VPC2PXN4,"BAY CITY MARINE, INC.",,"n/a (long-tail, not researched)",JN16VPC2PXN4,"BAY CITY MARINE, INC.",JN16VPC2PXN4,,
DDG|XR3UT8BLTKP7,DDG,XR3UT8BLTKP7,"ENERGY MACHINERY, INC.",,"n/a (long-tail, not researched)",XR3UT8BLTKP7,"ENERGY MACHINERY, INC.",XR3UT8BLTKP7,,
DDG|N16ET1YJ6QZ3,DDG,N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",332911,Industrial Valve Manufacturing,WH4HRFKKT8U6,"ROMAC INDUSTRIES, INC.",WH4HRFKKT8U6,,
DDG|LCKATM42Y1M1,DDG,LCKATM42Y1M1,"ARGON ST, INC.",,"n/a (long-tail, not researched)",NU2UC8MX6NK1,"BOEING COMPANY, THE",NU2UC8MX6NK1,,
DDG|X9C7KVWCMQJ6,DDG,X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, LLC",,"n/a (long-tail, not researched)",X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, LLC",X9C7KVWCMQJ6,,
DDG|M647MA6E64V1,DDG,M647MA6E64V1,DEWEY ELECTRONICS CORPORATION,,"n/a (long-tail, not researched)",M647MA6E64V1,DEWEY ELECTRONICS CORPORATION,M647MA6E64V1,,
DDG|H12BMH6V6495,DDG,H12BMH6V6495,"PIMA VALVE, INC.",,n/a (no SAM record),,,,,
DDG|KB8ALFD8K1X8,DDG,KB8ALFD8K1X8,Higgins Marine Services Inc,,"n/a (long-tail, not researched)",,,,,
DDG|Q4LMAMECTR44,DDG,Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",,"n/a (long-tail, not researched)",Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",Q4LMAMECTR44,,
DDG|DSVCC3S92J21,DDG,DSVCC3S92J21,BOLAND MARINE & INDUSTRIAL LLC,,"n/a (long-tail, not researched)",,,,,
DDG|K783PK4DZEE3,DDG,K783PK4DZEE3,"ADVANTEC MANUFACTURING USA, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|ZE1KT2MPBGM3,DDG,ZE1KT2MPBGM3,"HARDING COMPANY, INC",,"n/a (long-tail, not researched)",CP8AJC3EDE93,"Alp Industries, Inc.",CP8AJC3EDE93,,
DDG|CQQUMMDARBG3,DDG,CQQUMMDARBG3,THE DEWEY ELECTRONICS CORPORATION,,"n/a (long-tail, not researched)",M647MA6E64V1,"DEWEY ELECTRONICS CORPORATION, THE",M647MA6E64V1,,
DDG|NCG7W2K7P7R6,DDG,NCG7W2K7P7R6,DB CONTROL,,"n/a (long-tail, not researched)",WF9TN8AWH8K5,HEICO CORP,WF9TN8AWH8K5,,
DDG|EQ2TN2GMDFT5,DDG,EQ2TN2GMDFT5,"ADVANCED ACOUSTIC CONCEPTS, LLC",,"n/a (long-tail, not researched)",,,,,
DDG|E83TNKA9JCY6,DDG,E83TNKA9JCY6,AIR SYSTEMS COMPONENTS INC,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,XEQ3L57D2J24,,XEQ3L57D2J24,"Air Systems Components’ Sanford, North Carolina operation includes the Trion air-cleaning business, which makes electrostatic air cleaners, filtration units, and related indoor-air-quality equipment. I found no public source identifying the specific Trion/Air Systems component installed during DDG-51 construction.","https://www.highergov.com/awardee/air-systems-components-inc-10139378/
https://www.airsysco.com/
https://www.trioniaq.com/"
DDG|ZQ11WUWJGAA4,DDG,ZQ11WUWJGAA4,"KIDDE-FENWAL, INC.",,"n/a (long-tail, not researched)",PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,PPLZG8J3N9D4,,
DDG|F4GNMTCCXGM8,DDG,F4GNMTCCXGM8,"HUTCHINSON INDUSTRIES, INC",,"n/a (long-tail, not researched)",ZVFUENFF77T1,TOTALENERGIES SE,ZVFUENFF77T1,,
DDG|GGERZB4A1FB3,DDG,GGERZB4A1FB3,"WBPARTS, INC.",,"n/a (long-tail, not researched)",JDDMPNDNQ3L5,USBID INCORPORATED,GGERZB4A1FB3; JDDMPNDNQ3L5,,
DDG|UDMKPLHU8N48,DDG,UDMKPLHU8N48,US TOOL GRINDING INC,,"n/a (long-tail, not researched)",,,,,
DDG|FMKADN1KAXH6,DDG,FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",,"n/a (long-tail, not researched)",FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",FMKADN1KAXH6,,
DDG|H3R3VV5YN8G4,DDG,H3R3VV5YN8G4,KW BOATS,,"n/a (long-tail, not researched)",C1FEMK612CT4,HILL & SMITH HOLDINGS PLC,C1FEMK612CT4; H3R3VV5YN8G4,,
DDG|X51YWDJN2ED6,DDG,X51YWDJN2ED6,HORIZONS INCORPORATED,,"n/a (long-tail, not researched)",X51YWDJN2ED6,HORIZONS INCORPORATED,X51YWDJN2ED6,,
DDG|QMXJLLJZ5QY4,DDG,QMXJLLJZ5QY4,TORK SYSTEMS INC,,"n/a (long-tail, not researched)",SDD9PKYQAXZ7,,SDD9PKYQAXZ7,,
DDG|K7SAUMHPLDJ9,DDG,K7SAUMHPLDJ9,SIVYER STEEL CASTINGS LLC,,"n/a (long-tail, not researched)",K7SAUMHPLDJ9,SIVYER STEEL CASTINGS LLC,K7SAUMHPLDJ9,,
DDG|ZTBRMLGP4JF5,DDG,ZTBRMLGP4JF5,"VALLEN DISTRIBUTION, INC.",,"n/a (long-tail, not researched)",J3DRM4537TG4,SOCIETE DE NEGOCE ET DE PARTICIPATION,J3DRM4537TG4,,
DDG|YVDFW51N3N61,DDG,YVDFW51N3N61,"WALDO BROTHERS, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|MQSPAE7NQQR8,DDG,MQSPAE7NQQR8,"VITA MOTIVATOR CO., INC.",,"n/a (long-tail, not researched)",,,,,
DDG|HEUNPCKQLMN5,DDG,HEUNPCKQLMN5,KLUMB LUMBER COMPANY,,"n/a (long-tail, not researched)",HEUNPCKQLMN5,KLUMB LUMBER COMPANY,HEUNPCKQLMN5,,
DDG|JAM1MGE5VDJ7,DDG,JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",,"n/a (long-tail, not researched)",JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",JAM1MGE5VDJ7,,
DDG|XMLNYKT139G8,DDG,XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,,"n/a (long-tail, not researched)",XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,XMLNYKT139G8,,
DDG|HQEUSUQSKVK7,DDG,HQEUSUQSKVK7,"ADMARTEC, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|QLNMVC12KWY3,DDG,QLNMVC12KWY3,"LEIDOS, INC.",,"n/a (long-tail, not researched)",ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3,,
DDG|JGLLLKELFB57,DDG,JGLLLKELFB57,ITT CORPORATION,,"n/a (long-tail, not researched)",,,,,
DDG|RHLAM7GSJGJ4,DDG,RHLAM7GSJGJ4,"HOTTINGER BALDWIN MEASUREMENTS, INC.",,"n/a (long-tail, not researched)",NSFAYV7YAJB1,SPECTRIS PLC,NSFAYV7YAJB1,,
DDG|KWHXKLAL87T5,DDG,KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",336611,Ship Building and Repairing,KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",KWHXKLAL87T5,,
DDG|RDQDMFHFM8K3,DDG,RDQDMFHFM8K3,R P M SUPPLY CORPORATION,,"n/a (long-tail, not researched)",,,,,
DDG|MNZGEAM8WG31,DDG,MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",,"n/a (long-tail, not researched)",MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",MNZGEAM8WG31,,
DDG|DQAYCKTDLND5,DDG,DQAYCKTDLND5,"EAGLE INDUSTRIES OF LOUISIANA, L.L.C.",,"n/a (long-tail, not researched)",,,,,
DDG|KAJ2U4MCB329,DDG,KAJ2U4MCB329,"CHELSEA CLOCK, LLC, THE",,"n/a (long-tail, not researched)",,,,,
DDG|KFP8JR5HL191,DDG,KFP8JR5HL191,ARA SERVICES LLC.,,"n/a (long-tail, not researched)",,,,,
DDG|M8JLMEHJADQ5,DDG,M8JLMEHJADQ5,"BOEING COMPANY, THE",,"n/a (long-tail, not researched)",NU2UC8MX6NK1,"BOEING COMPANY, THE",NU2UC8MX6NK1,,
DDG|ZSJFXM833NA3,DDG,ZSJFXM833NA3,Xerox Corporation,,"n/a (long-tail, not researched)",JB4NTVR9XMN4,XEROX CORPORATION,JB4NTVR9XMN4,,
DDG|V72KJGHK3JF2,DDG,V72KJGHK3JF2,MGR EQUIPMENT CORP,,"n/a (long-tail, not researched)",,,,,
DDG|N5HGL94UC1D6,DDG,N5HGL94UC1D6,PIERCE ALUMINUM CO INC,,"n/a (long-tail, not researched)",,,,,
DDG|YA86NYHUA353,DDG,YA86NYHUA353,BRENNTAG LUBRICANTS,,"n/a (long-tail, not researched)",,,,,
DDG|ZZG5TB4JCKE1,DDG,ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",,"n/a (long-tail, not researched)",,,,,
DDG|QFG7EC12DQK4,DDG,QFG7EC12DQK4,"UNITED RENTALS (NORTH AMERICA), INC.",532310,General Rental Centers,DZ4JXAPAU222,"UNITED RENTALS, INC.",DZ4JXAPAU222,,
DDG|WXRTZLL25AE5,DDG,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",325991,Custom Compounding of Purchased Resins,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",WXRTZLL25AE5,,
DDG|G319AMB56SW5,DDG,G319AMB56SW5,"901 D, LLC",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,WLEATDDTMCT3,,WLEATDDTMCT3,,
DDG|LCTCMUR9KYB6,DDG,LCTCMUR9KYB6,"CAJUN PROCESS SOLUTIONS, LLC",,"n/a (long-tail, not researched)",,,,,
DDG|EPK7A98BB4B6,DDG,EPK7A98BB4B6,"HEILIND MIL-AERO, LLC",,"n/a (long-tail, not researched)",HTHFAYHMJWT4,HEILIND ELECTRONICS INC,HTHFAYHMJWT4,,
DDG|E6ACL8BWKN47,DDG,E6ACL8BWKN47,"ENERGY FOCUS, INC.",,"n/a (long-tail, not researched)",E6ACL8BWKN47,"ENERGY FOCUS, INC.",E6ACL8BWKN47,,
DDG|KNY4J2WMVJX3,DDG,KNY4J2WMVJX3,ASC ENGINEERED SOLUTIONS LLC,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,RDFUGEUNVCN9,,QXH3CKUV5KP8; RDFUGEUNVCN9,,
DDG|DY2JXQ22MA14,DDG,DY2JXQ22MA14,KSARIA SERVICE CORPORATION,,"n/a (long-tail, not researched)",,,,,
DDG|MNS7TJ9KVTJ1,DDG,MNS7TJ9KVTJ1,"HDT EXPEDITIONARY SYSTEMS, INC.",,"n/a (long-tail, not researched)",SPJDDHTQBSY9,"HUNTER DEFENSE TECHNOLOGIES, INC.",SPJDDHTQBSY9,,
DDG|K7L6DELLDU47,DDG,K7L6DELLDU47,"GULF SALES AND SUPPLY, INCORPORATED",,"n/a (long-tail, not researched)",,,,,
DDG|UUK2QMVKDKN1,DDG,UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",,"n/a (long-tail, not researched)",UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",UUK2QMVKDKN1,,
DDG|N6U1EU32U9J1,DDG,N6U1EU32U9J1,"EST GROUP, INC.",,"n/a (long-tail, not researched)",PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,J9V9SJL4CW97; PF8PJNVEPTJ1,,
DDG|X4YDGJ1UE973,DDG,X4YDGJ1UE973,Sunbelt Supply L.P.,,"n/a (long-tail, not researched)",UXLBKCMVY819,Floworks International LLC,UXLBKCMVY819,,
DDG|NUMJXMNFTW19,DDG,NUMJXMNFTW19,SECHAN ELECTRONICS INC,,"n/a (long-tail, not researched)",,,,,
DDG|GMVJD1H9JQX8,DDG,GMVJD1H9JQX8,"MICROFLEX, INC.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,GMVJD1H9JQX8,"MICROFLEX, INC.",GMVJD1H9JQX8,,
DDG|C7QXDAE2EUN1,DDG,C7QXDAE2EUN1,"GENERAL MARINE PRODUCTS, INC.",336611,Ship Building and Repairing,,,,,
DDG|CR99X5Q2KQS1,DDG,CR99X5Q2KQS1,LBI INC,336611,Ship Building and Repairing,,,,,
DDG|NTREK31GP8N3,DDG,NTREK31GP8N3,KSARIA CORPORATION,334417,Electronic Connector Manufacturing,NTREK31GP8N3,KSARIA CORPORATION,NTREK31GP8N3,,
DDG|HUYTR5ZGSSN6,DDG,HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",,"n/a (long-tail, not researched)",GGSLGRB5KXM6,Pon Holdings B.V.,GGSLGRB5KXM6,,
DDG|HLW2GH7TF2M4,DDG,HLW2GH7TF2M4,INDAL TECHNOLOGIES INC.,332312,Fabricated Structural Metal Manufacturing,J9V9SJL4CW97,,J9V9SJL4CW97,,
DDG|RU3QHCAJP492,DDG,RU3QHCAJP492,"HOFFER FLOW CONTROLS, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|LS77JJSDUXH9,DDG,LS77JJSDUXH9,HYDRADYNE LLC,,"n/a (long-tail, not researched)",PWYQJP152BE5,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",PWYQJP152BE5,,
DDG|JUN5EFMB2NZ7,DDG,JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,,"n/a (long-tail, not researched)",JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,JUN5EFMB2NZ7,,
DDG|NC39YCMEXVJ8,DDG,NC39YCMEXVJ8,COLUMBUS MCKINNON CORPORATION,,"n/a (long-tail, not researched)",NKESS3J37J77,COLUMBUS MCKINNON CORPORATION,NKESS3J37J77,,
DDG|VHCPBNRMLK33,DDG,VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",,"n/a (long-tail, not researched)",VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",VHCPBNRMLK33,,
DDG|DA2CMNNJWSZ4,DDG,DA2CMNNJWSZ4,Captain Freds Sea Trial Support LLC,,"n/a (long-tail, not researched)",,,,,
DDG|CVMQHCRDBVT7,DDG,CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|QB7EKDNK2E83,DDG,QB7EKDNK2E83,TIM BRIERE,332710,Machine Shops,,,,,
DDG|NE3DARLAMEN6,DDG,NE3DARLAMEN6,"PROCESS ENGINEERING COMPANY, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|EEE8FHKK1YR9,DDG,EEE8FHKK1YR9,"LAFAYETTE RESTAURANT SUPPLY, INC.",,"n/a (long-tail, not researched)",,,,,
DDG|EJ1DW3A8BFM8,DDG,EJ1DW3A8BFM8,CORE INDUSTRIES INC.,,"n/a (long-tail, not researched)",NB2HLRTJJJQ7,"WATTS WATER TECHNOLOGIES, INC",NB2HLRTJJJQ7,,
DDG|MMTME6UEFEC5,DDG,MMTME6UEFEC5,"EIS, INC.",,"n/a (long-tail, not researched)",DZ8RD2EBBMK5,GENUINE PARTS COMPANY,DZ8RD2EBBMK5,,
